File Name	Game Title	Game ID	Bytes	Amount	Size	Checksum	MD5	Zip	Started	Finished	Taken
patch_dying_light_the_following__enhanced_edition_1.44.1_(50174)_to_1.45.0_(50554).exe	Dying Light: The Following – Enhanced Edition	1448452156	763616	746 Kb	pass	aebb67374557dc9edb5e2f9ecbd6ddd7	pass	na	2021-12-15 00:14:07	2021-12-15 00:14:07	00:00:00
patch_dying_light_the_following__enhanced_edition_1.45.1_(51033)_to_1.46.1_(52044).exe	Dying Light: The Following – Enhanced Edition	1448452156	780272	762 Kb	pass	ddf66082ec3bbbc6640bdc3237cb2c3c	pass	na	2021-12-15 00:14:07	2021-12-15 00:14:07	00:00:00
setup_dying_light_the_following__enhanced_edition_1.46.1_(64bit)_(52044).exe	Dying Light: The Following – Enhanced Edition	1448452156	1316928	1 Mb	pass	a43605ae7005ca2bcdfed45a858dc125	pass	na	2021-12-15 00:14:07	2021-12-15 00:14:07	00:00:00
setup_metro_exodus_-_sams_story_1.0.7.16_(64bit)_(38433)-2.bin	Metro Exodus	1407287452	2437118681	2.27 Gb	pass	affae6076372f0d67a6538079c06da78	pass	na	2021-12-17 15:22:22	2021-12-17 15:25:11	00:02:49
setup_metro_exodus_-_sams_story_1.0.7.16_(64bit)_(38433)-1.bin	Metro Exodus	1407287452	4294115838	4 Gb	pass	2707da9f23f0fe533a538393233ee40e	pass	na	2021-12-17 15:25:48	2021-12-17 15:29:57	00:04:09
setup_metro_exodus_-_sams_story_3.0.7.26_(64bit)_(47053)-2.bin	Metro Exodus	1407287452	2367907834	2.21 Gb	pass	8b9916a3ef122ec0a770c9cc17f99789	pass	na	2021-12-17 15:32:10	2021-12-17 15:34:53	00:02:43
setup_metro_exodus_-_sams_story_3.0.7.26_(64bit)_(47053)-1.bin	Metro Exodus	1407287452	4294116350	4 Gb	pass	ad6f3b46349bfecd9167abd5c1383676	pass	na	2021-12-17 15:35:17	2021-12-17 15:39:33	00:04:16
setup_pillars_of_eternity_ii_deadfire_v5.0.0.0040_(29201)-1.bin	Pillars of Eternity II: Deadfire	1788509829	4286113278	3.99 Gb	pass	65cce872bcd572e6bd07e6694a4545b7	pass	na	2021-12-17 18:57:10	2021-12-17 19:01:14	00:04:04
setup_pillars_of_eternity_ii_deadfire_v5.0.0.0040_(29201)-2.bin	Pillars of Eternity II: Deadfire	1788509829	4294967294	4 Gb	pass	a49aa6f96d4e969efb45fac44a78c109	pass	na	2021-12-17 19:13:11	2021-12-17 19:17:15	00:04:04
setup_pillars_of_eternity_ii_deadfire_v5.0.0.0040_(29201)-3.bin	Pillars of Eternity II: Deadfire	1788509829	4294967294	4 Gb	pass	f1bccad70ac9319c901f3c4838f16de6	pass	na	2021-12-17 19:37:45	2021-12-17 19:41:59	00:04:14
setup_pillars_of_eternity_ii_deadfire_v5.0.0.0040_(29201)-5.bin	Pillars of Eternity II: Deadfire	1788509829	4294967294	4 Gb	pass	149a368b91bc16cdc272d2936cc2157f	pass	na	2021-12-17 19:48:25	2021-12-17 19:52:21	00:03:56
setup_pillars_of_eternity_ii_deadfire_v5.0.0.0040_(29201)-6.bin	Pillars of Eternity II: Deadfire	1788509829	1627443941	1.52 Gb	pass	84f01515d0ba3cb6f62a62c02dee40bc	pass	na	2021-12-17 19:52:30	2021-12-17 19:54:05	00:01:35
setup_pillars_of_eternity_ii_deadfire_v5.0.0.0040_(29201).exe	Pillars of Eternity II: Deadfire	1788509829	8861232	8 Mb	pass	0bd58576523337a00a35b20d5b19aeb0	pass	na	2021-12-17 19:54:14	2021-12-17 19:54:15	00:00:01
setup_metro_exodus_1.0.7.16_(64bit)_(38433)-1.bin	Metro Exodus	1407287452	4293274622	4 Gb	pass	99a536326de74af55bde00deccd5bfac	pass	na	2021-12-18 10:54:21	2021-12-18 10:59:21	00:05:00
setup_metro_exodus_1.0.7.16_(64bit)_(38433)-10.bin	Metro Exodus	1407287452	4294967294	4 Gb	pass	5453b0f604954e2ebfde81a6a98ca3e7	pass	na	2021-12-18 10:59:30	2021-12-18 11:04:46	00:05:16
setup_metro_exodus_1.0.7.16_(64bit)_(38433)-11.bin	Metro Exodus	1407287452	4294967294	4 Gb	pass	53d45a400798e82af6e996e797bc012b	pass	na	2021-12-18 11:04:55	2021-12-18 11:10:00	00:05:05
setup_metro_exodus_1.0.7.16_(64bit)_(38433)-12.bin	Metro Exodus	1407287452	4294967294	4 Gb	pass	dd4ad228b00b02c5a14e9bd292a71bf6	pass	na	2021-12-18 11:10:09	2021-12-18 11:15:30	00:05:21
setup_metro_exodus_1.0.7.16_(64bit)_(38433)-13.bin	Metro Exodus	1407287452	4294967294	4 Gb	pass	823811116f87b595a94e18867336f4d7	pass	na	2021-12-18 11:15:39	2021-12-18 11:20:56	00:05:17
setup_metro_exodus_1.0.7.16_(64bit)_(38433)-14.bin	Metro Exodus	1407287452	4294967294	4 Gb	pass	1f1a8adc2e53c93a0be537f9e43a5d06	pass	na	2021-12-18 11:21:06	2021-12-18 11:25:26	00:04:20
